,0
TURISMO CIVA S.A.C.,15
EMPRESA DE TRANSPORTES JUNÍN S.R.L.,7
EMPRESA DE TRANSPORTES RONCO PERÚ S.A.C.,7
TRANSPORTES CRUZ DEL SUR S.A.C.,6
Transportes El Pino S.A.C.,4
S.A.C.,4
JULSA ÁNGELES TOURS S.A.C.,4
EMPRESA DE TRANSPORTE TURÍSTICO OLANO S.A.,4
Turismo Civa S.A.C.,4
EMPRESA DE TRANSPORTES EXPRESO INTERNACIONAL PALOMINO S.A.C.,3
EMPRESA DE TRANSPORTES TURISMO PARAMONGA S.A.,3
Expreso Cial S.A.C.,3
TRANSPORTES EL PINO S.A.C. - TEPSA,3
ANDORIÑA TOURS S.R.L.,3
MOVIL TOURS S.A.,3
Expreso Molina Unión E.I.R.L.,3
TRANSMAR EXPRESS S.A.C.,3
EMPRESA DE TRANSPORTES SALAZAR E.I.R.L.,3
EMPRESA DE TRANSPORTES FLORES HNOS S.R.L.,3
EXPRESO MOLINA UNIÓN E.I.R.L.,3
EXPRESO CIAL S.A.C.,3
Transportes Cruz del Sur S.A.C.,2
PAREDES ESTRELLA CARGO S.A.,2
Empresa de Transportes Junín S.R.L.,2
TRANSPORTES LÍNEA S.A.,2
Expreso Turismo Tacna Internacional S.C.R.L.,2
Empresa de Transportes Expreso Cial S.A.C.,2
Empresa Wari S.A.C.,2
Móvil Tours S.A. (Movil Tours),2
Expreso Internacional Ormeño S.A.,2
M & Enlaces S.A.,2
Empresa de Transporte Sol Peruano S.A.C.,2
Empresa de Transportes Turismo Directo Asegurado S.A. - Tur Dias,1
Empresa de Transportes Diferencial Asociados S.A. (Transportes Diferencial),1
EMPRESA DE TRANSPORTES PERÚ BUS S.A.,1
TURISMO ERICK EL ROJO S.A.,1
SERVICIO DE TRANSPORTE TURISMO INTERBUSS,1
INVERSIONES TOUR PERU S.A.C.,1
EMPRESA DE TRANSPORTES CARGO CAVASSA S.A.C.,1
Empresa de Transportes Flores Hermanos S.R.L,1
SEGURA CHICOMA S.A.C.,1
SUR S.R.L.,1
Empresa de Transporte Inter Regional S.A.,1
Empresa de Transportes Royal Palaces S.A.,1
EMPRESA DE TRANSPORTES INTERPROVINCIAL,1
Paredes Estrella Cargo SA (Estrella Cargo),1
ExpresoWari S.A.C. (Expreso Wari),1
EXPRESO SÁNCHEZ S.R.L.,1
Empresa de Transporte Junín S.R.L.,1
Empresa de Transporte Costeño Express S.A.C.,1
Empresa de Transporte Flores Hermanos (Transporte -Flores),1
CARBONELL TRANSPORTS S.A.,1
EMPRESA DE TRANSPORTES EXPRESO LOBATO S.A.C.,1
Turismo Paraiso S.A.,1
Nuestra Señora de Chota S.A.,1
EMPRESA DE TRANSPORTES Y TURISMO BARRANCA S.A.,1
AREQUIPA EXPRESO MARVISUR E.I.R.L.,1
Empresa de Transporte de Pasajeros y carga Cavassa S.A.C.,1
TRANSPORTES ANITA E.I.R.L.,1
EXPRESO ANTEZANA HNOS S.A.,1
Empresa de Transporte Salazar E.I.R.L,1
Expreso Cial S.A.C. (Expreso Cial),1
Empresa de Transporte Flores Hnos. S.R.L.,1
Expreso Grael SAC (Expreso Grael),1
Turismo Dias S.A. (Turismo Dias),1
TERRACARGO S.A.C.,1
EMPRESA DE TRANSPORTES ROYAL PALACE'S S.A.,1
TRANSMAR CARGO E.I.R.LTDA.,1
Expreso Molina Unión E.I.R.L. (Expreso Molina),1
Perurail S.A.,1
PAREDES ESTRELLA - CARGO S.A.,1
EXPRESO MOLINA UNIÓN E.I.R.L,1
Empresa de Transportes El Dorado S.A.C. (El Dorado),1
DE PASAJEROS EL HUARALINO S.A.C.,1
Empresa de Transportes Santa Mónica E.I.R.L.,1
TRANSPORTES MURGA SERRANO E.I.R.L.,1
EMPRESA DE TRANSPORTES NUESTRA SEÑORA DE LA MERCED S.A.C.,1
EMPRESA DE TRANSPORTES DORA E.I.R.L.,1
Transmar Express S.A.C.,1
S.A.C,1
EMPRESA DE TRANSPORTES RONCO PERÚ,1
Empresa de Transporte El Pino SAC (El Pino),1
PASAJEROS TURISMO HUANCABAMBA S.A.C.,1
Empresa de Transportes Flores Hermanos S.R.L.,1
Empresa de Tranporte Santa Úrsula (Transporte Santa Úrsula),1
HUAYRURO TOURS E.I.R.L.,1
EMPRESA DE TRANSPORTES TURISTICOS,1
TURISMO TITANIC S.A.,1
Arequipa Express Comité 4 S.C.R.L.,1
Empresa de Transportes de pasajeros y carga Cavassa (Transporte Cavassa),1
CRISOLITOS EXPRESS E.I.R.L.,1
EMPRESA DE TRANSPORTES YANATILE S.R.L.,1
WARI CARGO S.A.C.,1
EMPRESA DE TRANSPORTES EL SOL S.A.,1
Empresas de Servicios y Representaciones Tumbes S.R.L.,1
S.A,1
SERVICIO DE TRANSPORTE TURISMO INTER BUSS,1
EMPRESA DE TRANSPORTES SANTA URSULA,1
PASAJEROS CARMELITAS BUS S.R.L.,1
Empresa de Transportes y Turismo Los Hunos E.I.R.L.,1
EMPRESA DE TRANSPORTES Y TURISMO EXPRESS,1
TURISMO MURGA SERRANO E.I.R.L.,1
Empresa de Transportes La Perla del Oriente S.A.C.,1
EMPRESA DE TRANSPORTES TURISMO TRES,1
EMPRESA DE TRANSPORTES JUNÍN S.R.LTDA.,1
EMPRESA DE TRANSPORTES DE CARGA Y,1
EMPRESA DE TRANSPORTE TURISMO LIBERTADORES E.I.R.L.,1
EMPRESA DE TRANSPORTES EL DORADO S.A.C.,1
CARGA CAVASSA S.A.C.,1
Empresa de Transportes Junín S.R.Ltda.,1
TURISMO CIVA S.A.C,1
INTERNACIONAL SUR ORIENTE S.C.R.L.,1
INTER BUSS S.A.C,1
EMPRESA DE TRANSPORTES EL EXPRESO S.A.C.,1
EMPRESA DE TRANSPORTES HORNA E HIJOS S.R.L.,1
EMPRESA DE TRANSPORTES AVE FÉNIX S.A.C.,1
EMPRESA DE TRANSPORTE TURÍSTICO COCHACHI S.C.R.L.,1
JULSA ANGELES TOURS S.A.C.,1
EMPRESA DE TRANSPORTES RAMOS,1
EMPRESA DE TRANSPORTES SANDOVAL S.R.L.,1
SERVICIO DE TRANSPORTE TURISMO,1
Empresa de Transportes Unidos del Centro S.A.,1
Transportes Línea S.A.,1
EMPRESA DE TRANSPORTE JUNÍN S.R.LTDA.,1
EXPRESO TURISMO SAN MARTÍN E.I.R.L.,1
EMPRESA DE TRANSPORTES DE PASAJEROS Y CARGA CAVASSA S.A.C.,1
Empresa de Transportes Turismo Directo Asegurado S.A.C. (TURISMO Dias),1
TRANSPORTE WARI S.A.C.,1
Bahia Buss E.I.R.L.,1
"M & C Enlaces S.A, (M & C)",1
EMPRESA DE TRANSPORTES TURISMO,1
Transportes Wari S.A.C.,1
TURISMO ANITA SERVICE S.A.C.,1
OLANO S.A,1
TRANSPORTES G M INTERNACIONAL S.A.C.,1
ESTRELLAS S.A.C.,1
SECHURA TOURS S.R.LTDA.,1
EMPRESA DE TRANSPORTES ROMY S.A.C.,1
EXPRESO INTERNACIONAL ORMEÑO S.A.,1
EMPRESA DE TRANSPORTES LOS CANARIOS S.R.L.,1
EMPRESA DE TRANSPORTES TURISMO APÓSTOL SAN PEDRO E.I.R.L.,1
CARBOTRANS E.I.R.L.,1
Empresa de Transportes Carhuamayo S.A.C.,1
EMPRESA DE TRANSPORTE TURÍSTICO OLANO,1
Empresa de Transporte Flores Hermanos S.R.L.,1
EMPRESA COMERCIAL DE TRANSPORTES ZELADA S.R.L.,1
EMPRESA DE TRANSPORTE TURÍSTICO OLANO S.A. - OLTURSA,1
Transporte La Marginal SA (Transporte La Marginal),1
Transportes Señor de Puelles S.C.R.L.,1
M & C ENLACES S.A.,1
Empresa de Transportes  Julio César S.R.L.,1
