,0
Hernando Montoya Alberti,132
Camilo Nicanor Carrillo Gómez,123
Francisco Pedro Ernesto Mujica Serelle,105
Luis José Diez Canseco Núñez,62
Oscar Dario Arrús Olivera,61
Rosa María Graciela Ortiz Origgi,56
Oscar Darío Arrús Olivera,52
Miguel Antonio Quirós García,52
Miguel Antonio Quiroz García,48
Juan Ángel Candela Gómez de La Torre,47
Alejandro José Rospigliosi Vega,44
Julio Baltazar Durand Carrión,42
Ana Asunción Ampuero Miranda,42
Juan Luis Avendaño Valdez,42
Javier Francisco Zúñiga Quevedo,30
José Juan Fernando Piérola Mellet,28
Jun Luis Alvendaño Valdez,21
Juan Francisco Rojas Leo,17
Julio Durand Carrión,17
Juan Angel Candela Gómez de la Torre,15
Javier Francisco Zuñiga Quevedo,13
Héctor Tapia Cano,13
José Oscátegui Arteta,10
Sergio León Martínez,10
Luis Bruno Seminario de Marzi,8
Tomás Unger Golsztyn,7
Luis Seminario de Marzi,7
Sergio Alejandro León Martínez,2
Julio Carlos Lozano Hernández,2
Paola Liliana Lobatón Fuchs,2
José Luis Fernando Piérola Mellet,2
Silvia Lorena Hooker Ortega,2
Lorenzo Antonio Zolezzi Ibárcena,2
Luis Bruno Seminario,1
Camiloo Nicanor Carrillo Gómez,1
Luis Antonio Zolezzi Ibárcena,1
José Enrique Benjamín Palma Navea,1
Begoña Venero Aguirre,1
Juan Luis Alvendaño Valdez,1
Rosa María Graciela Ortiz Origge,1
José Alberto Oscátegui Arteta,1
María Soledad Ferreyros Castañeda,1
