Número de resolución,Criterios aplicables,Año,Categoría,Materia,Empresa denunciada,Medios probatoriosCargo,Medios probatorios Descargo,Cuestiones,Normativa sectorial aplicada,Normativa específica,Otras normas,Multas,Medidas correctivas,Configuración del Tribunal,Decisión
0064-2006/TDC-INDECOPI,"la responsabilidad administrativa de Transportes Flores en laprestación de servicios de transporte es objetiva, por lo que la denunciadasólo podría eximirse de responsabilidad si acreditara que existió un hecho ouna conducta distinta a la suya que determinó que no entregase a ladenunciante la mencionada encomienda.Los supuestos de caso fortuito y de fuerza mayor constituyen circunstanciasque eximen de responsabilidad al proveedor por los defectos que se puedanpresentar en la prestación de bienes o servicios, los cuales son definidos porel artículo 1315° del Código Civilel Código Civil no distingue entre los supuestos decaso fortuito o fuerza mayor, requiriéndose en ambos casos acreditar laexistencia de eventos extraordinarios, imprevisibles e irresistibles y que, porlo tanto, no pueden ser controlados por el obligado a ejecutar unaprestación.En la entrega de encomiendas, resulta un riesgo previsible el extravío,deterioro y sustracción de los bienes que las conforman y, ante estoshechos, es el proveedor de los servicios, obligado a trasladar los bienes demanera segura a su destinatario de acuerdo con las condiciones en las queéste se pactó, quien está en mejor posición para tomar medidas razonablesdestinadas a evitar que se produzcan hechos de esta naturaleza.Sobre la base de la guía de encomienda, un consumidor razonable entiende que la encomienda únicamente será entregada a aquella persona que figura comoconsignatario de la misma. Por otro lado, en caso que sea necesario revisaro rectificar el contenido de la encomienda antes de que ésta sea enviada, unconsumidor razonable entiende que el único que podía solicitarla era elremitente de la misma.Debe tenerse en cuenta quela denunciada está en mejor posición que el cliente para reducir y prevenirlos riesgos propios de la entrega de paquetes y encomiendas.",2006,Pérdida de equipaje,Idoneidad del servicio,Empresa de transportes Flores Hermanos SRL,Boleta por servicio de encomienda,Denuncia policial por hurto,Competencia Fuerza mayor,Reglamento General de Ferrocarriles D. Supremo 012-78-TC D. Supremo No. 027-99-MTC Reglamento para el otorgamiento de operaciones de servicio de transporte ferroviario,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI",Código Civil,"0,50 UIT Pago de costas y costos",Pago de S/.850,Juan Francisco Rojas Leo Julio Durand Carrión Sergio León Martínez José Oscátegui Arteta Luis Seminario de Marzi,1
0071-2006/TDC-INDECOPI,"El punto de partida para demostrar la existencia de una causa que exima de responsabilidad aun proveedor es la probanza de un evento determinado que tiene unacaracterística de exterioridad respecto a él.para eximirse de responsabilidad no resulta relevante queel proveedor acredite el cumplimiento de un determinado nivel dediligencia, sino que acredite la existencia de un acontecimiento queinterrumpa la sucesión ordinaria de causa a efecto. a efectos de acreditar la existencia de un supuesto de caso fortuitoresulta indispensable no sólo probar la existencia de un evento inusual, sinoque éste posee una característica de exterioridad, es decir, que se presentecomo una “causa ajena”, la cual,debe entenderse como un hecho que no debe constituir unriesgo “típico”, motivo por el cual, en el caso de la responsabilidad objetiva,sólo el riesgo atípico tendrá valor exoneratorio.tratándose de un supuesto de responsabilidad por hecho de cosasinanimadas, únicamente se configura la liberación de responsabilidadcuando el caso fortuito o fuerza mayor es externo a la cosa. En tal sentido,cuando el daño se origina en el riesgo o vicio de la cosa, se considera propiode ella y, en consecuencia, no se configura el caso fortuito.el presente caso no puede alegarse un supuesto de casofortuito, ya que la denunciada no ha cumplido con acreditar la existencia deuna causa ajena que permita considerar que se ha quebrado el nexo causal,ya que de la revisión de la información que obra en el expediente ha podidoestablecerse que el hecho que originó el accidente fue la falta de diligenciadel chofer del vehículo que transportaba la encomienda dirigida aldenunciante8 - quien retrocedió el referido vehículo sin tomar las medidas deprevención y cuidado necesarias -. Al haberse verificado que el hecho verificado es consecuencia de un riesgo propio y absolutamenteprevisible para el proveedor, tomando en consideración la actividadeconómica desarrollada, no puede argumentarse la existencia de un casofortuito, el cual sólo se configura cuando el hecho es “externo a la cosa”.",2006,Pérdida de equipaje,Idoneidad del servicio,Paredes Estrella Cargo SA (Estrella Cargo),0,0,"Competencia Fuerza mayor, caso fortuito",Ley General de Transporte y Tránsito Terrestre,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI",Código Civil Sentencia del 23 de abril de 2007 Primera Sala Transitoria Especializada de la Corte Superior de Jusiticia de Lima,"0,5 UIT","Pago de S/.1,650",Juan Francisco Rojas Leo Julio Durand Carrión Sergio León Martínez José Oscátegui Arteta Luis Seminario de Marzi,1
0142-2006/TDC-INDECOPI,"Para el dictado de medidas correctivas, la ausencia de regulación específicaque establezca los criterios para valorar la pérdida de encomiendasremitidas empleando el transporte terrestre por carretera, hace necesariorecurrir al ordenamiento normativo más próximo a fin de establecer uncriterio de valoración de los bienes extraviados.",2006,Pérdida de equipaje,Idoneidad del servicio Gradación de la sanción,Empresa de Tranporte Santa Úrsula (Transporte Santa Úrsula),0,0,0,Reglamento General de Ferrocarriles D. Supremo 012-78-TC D. Supremo No. 027-99-MTC Reglamento para el otorgamiento de operaciones de servicio de transporte ferroviario,"Ley No. 27917 Modifica el Texto Unico Ordenado del D. Leg. 716 DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI",Código Civil,"0,50 UIT",Pago de S/.850,Juan Francisco Rojas Leo Julio Durand Carrión Sergio León Martínez José Oscátegui Arteta Luis Seminario de Marzi Lorenzo Antonio Zolezzi Ibárcena,0
1335-2006/TDC-INDECOPI,"la causa no imputable debe ser entendida como un“evento extraño a la esfera de control del obligado” y no como una “causa noatribuible a la culpa del deudor”, por cuanto existen impedimentos inculpables,que por ser expresión de un riesgo típico de la actividad comprometida, seconsideran imputables al obligado.el hurto del objeto de la prestación nosiempre puede ser alegado como eximente de responsabilidad, ya quepreviamente se debe determinar si éste representa un riesgo típico de laactividad comprometida.la pérdida del equipaje de un pasajero durante un viaje enautobús constituye un riesgo típico de la actividad realizada por ladenunciada como proveedor del servicio de transporte terrestre. Loanterior, toda vez que la obligación de transportar pasajeros impone además undeber de custodia del equipaje transportado por la empresa de transporte hastaque le sea entregado al usuario.El deber de custodia que recae en las empresas de transporte incluye justamenteevitar la pérdida, extravío o robo del equipaje que transportan. Enconsecuencia, el robo de las maletas no puede ser un eximente deresponsabilidad, por no tratarse de un evento ajeno ala actividad que realiza.al representar el robo, pérdida oextravío de equipaje un riesgo típico de la prestación de servicios de transporteterrestre, el proveedor estaba en mejor posición que cualquier persona paraprevenirlo y resistirlo. Un consumidor razonable, al contratar unservicio de transporte terrestre, esperaría que su equipaje sea transportado enforma adecuada, diligente y segura al destino correspondiente, de forma tal quele sea devuelto al final del viaje y en las mismas condiciones en que fueentregado, tal como se comprometió la empresa de transporte, según el deberde custodia que le asiste.el hecho de que lapérdida del equipaje se haya producido como consecuencia de un robo noexime a la empresa de transportes de la responsabilidad administrativa.",2006,Pérdida de equipaje,Idoneidad del servicio,Empresa de Transporte El Pino SAC (El Pino),Boleta de Venta,0,deber de custodia del equipaje,"Ley de Aeronaútica Civil del Perú DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI",Res. 0603-2002/TDC-INDECOPI,0,"0,5 UIT Pago de costas y costos",Pago de S/. 966,Juan Francisco Rojas Leo Julio Durand Carrión Sergio León Martínez José Oscátegui Arteta Luis Seminario de Marzi,1
1428-2006/TDC.INDECOPI,"al contratar unservicio de transporte de carga, un consumidor razonable espera que susbienes, además de ser transportados de manera segura hasta su destino, seanentregados en el lugar pactado y a la persona autorizada para recibirlos.la carga de la prueba sobre la idoneidad del producto oservicio corresponde al proveedor del mismo, en los casos de transporte demercancías corresponde al proveedor demostrar que el servicio prestado fueidóneo o, lo que es lo mismo, que cumplió con entregar la encomienda materiade denuncia a la persona indicada por el denunciante y en el lugar pactado.la guía de remisión es eldocumento que sustenta el traslado de bienes por el transportista, el cual,además, permite acreditar la entrega de los bienes objeto de encomienda,cuando en él conste la suscripción del destinatario en señal de conformidadcon la recepción de la mercancía.la guía presentadapor el proveedor constituye un documento idóneo para acreditar la entregade los bienes materia de encomienda al denunciante, en la medida que cuentacon una firma de manifiesta similitud a la  del consumidor, además de contenersu número de DNI.labor de verificación de la autoridad respecto de la comisiónde una infracción por parte de la denunciada en la entrega de mercancías,únicamente puede ser efectuada sobre la base de los documentos presentadospor las partes en el procedimiento, mediante los cuales la autoridad debeverificar hechos ciertos y objetivos, como son, en el presente caso, lacorrespondencia entre los números que figuran en el DNI y en el cargo derecepción, así como la similitud entre las firmas consignadas en el referidodocumento y el DNI del consumidor.no corresponde a la autoridad administrativa efectuar unaevaluación respecto de la autenticidad o falsedad de la firma consignada en laguía de remisión. Para determinar la existencia oinexistencia de una infracción administrativa, basta que la empresa denunciadaacredite el cumplimiento de su deber de idoneidad, no encontrándose facultada la administración para pronunciarsesobre una supuesta falsedad en la firma consignada, toda vez que dichapotestad únicamente corresponde al Poder Judicial mediante la actuación de laprueba grafotécnica correspondiente.",2006,Pérdida de equipaje,Idoneidad del servicio,Empresa de Transportes de pasajeros y carga Cavassa (Transporte Cavassa),0,Guia Boleta de Venta No. 51285,0,D. Supremo No. 009-2004-MTC Reglamento Nacional de Administración de Transporte,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI",Ley No. 27444 Ley del Procedimiento Administrativo General,0,0,Juan Francisco Rojas Leo Julio Durand Carrión Sergio León Martínez José Oscátegui Arteta Luis Seminario de Marzi,0
1466-2006/TDC.INDECOPI,"la pérdida del equipaje de unpasajero durante un viaje en autobús constituye un riesgo típico de laactividad realizada por la denunciada como proveedor del servicio detransporte terrestre. la obligación de transportarpasajeros impone además un deber de custodia del equipaje transportadopor la empresa de transporte hasta que le sea entregado al usuario.el deber de custodia que recae en las empresas de transporte incluyejustamente evitar la pérdida, extravío o robo del equipaje que transportan. Ental sentido, un consumidor razonable, al contratar un servicio de transporteterrestre, esperaría que su equipaje sea transportado en forma adecuada,diligente y segura al destino correspondiente, de forma tal que le seadevuelto al final del viaje y en las mismas condiciones en que le fueentregado, según el deber de custodia que le asiste.En efecto,el que la pérdida del equipaje se haya producido como consecuencia de unerror en la consignación del lugar de destino en el boleto del equipaje noexime a la empresa de transportes de la responsabilidad administrativaobjetiva alos proveedores.Todo consumidor que contrata los servicios de transporte interprovincial depasajeros esperaría que su equipaje le sea entregado en el lugar de destino,el mismo que se indica en el boleto de viaje entregado al pasajero. Sinembargo, aún en el caso en que por error el equipaje fuera enviado a unterminal de la empresa distinto al que se dirigía el pasajero, éste esperaríaque la empresa cumpla con devolvérselo, en cumplimiento del deber decustodia que recae en ella. ",2006,Pérdida de equipaje,Idoneidad del servicio,Empresa de Transporte Flores Hermanos (Transporte -Flores),0,0,0,Ley de Aeronaútica Civil del Perú,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Res. 0603-2002/TDC-INDECOPI Res. 0158-2003/TDC-INDECOPI",0,"0,5 UIT Pago de costas y costos","US$429,13",Juan Francisco Rojas Leo Julio Durand Carrión Sergio León Martínez José Oscátegui Arteta Luis Seminario de Marzi,1
1663-2006/TDC.INDECOPI,"El hecho de que un órgano resolutivo valore los mediosprobatorios que obran en el expediente y llegue al convencimiento de laexistencia o inexistencia de una infracción, discrepando con la posición dealguna de las partes en el procedimiento que no ve amparada su pretensión,no tiene por qué ser asociado a una infracción al debido proceso ni vicia denulidad el pronunciamiento. En todo caso, ante la disconformidad deladministrado con lo resuelto, la apelación constituye el recurso impugnatorioque permite a la instancia superior revisar los pronunciamientos de laComisión y, de ser pertinente, modificarlos.",2006,Pérdida de equipaje,Idoneidad del servicio,Expreso Grael SAC (Expreso Grael),Factura 007-No. 189485 Nota de recepción No. 001513 Carta Notarial,0,0,0,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Res. 099-96-TDC",0,0,0,Julio Durand Carrión Sergio León Martínez José Oscátegui Arteta Luis Seminario de Marzi Luis Antonio Zolezzi Ibárcena,0
1722-2006/TDC.INDECOPI,"El proveedor presentó un Acta de Transacción celebrada conla representante de la denunciante, en el que ademásde reconocerse el pago de una suma de dinero a favor de la señora Guerra, se dejaconstancia que ésta “se desiste expresamente de la denuncia interpuesta anteINDECOPI por dicha pérdida, solicitando el archivo definitivo de tal procedimiento(Expediente 016-2004).La representante contaba con facultades suficientes para celebrartransacciones en nombre de la denunciante, como también para formulardesistimientos, por lo que la declaración contenida en el Acta de Transacción defecha 2 de junio de 2004 cumplía con los requisitos que establece el artículo 189º dela Ley del Procedimiento Administrativo General. E tanto no seapreciaba una afectación al interés general, correspondía que la Comisión tuviera pordesistida la denuncia.",2006,Pérdida de equipaje,Idoneidad del servicio,Turismo Civa (Turismo Civa),0,Acta de Transacción por pérdida de equipaje,0,0,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Ley No. 27444 Ley del Procedimiento Administrativo General",0,0,0,Juan Francisco Rojas Leo Julio Durand Carrión Sergio León Martínez José Oscátegui Arteta,0
1854-2006/TDC.INDECOPI,"la responsabilidad administrativa deproveedor en la prestación de servicios de transporte esobjetiva, por lo que la denunciada sólo podría eximirse de responsabilidad siacreditara que existió un hecho o una conducta distinta a la suya quedeterminó que no entregase al denunciante la mencionada encomienda.Los supuestos de caso fortuito y defuerza mayor constituyen circunstancias que eximen de responsabilidad alproveedor por los defectos que se puedan presentar en la prestación debienes o servicios, los cuales son definidos por el artículo 1315 del CódigoCivil.el Código Civil no distingue entre los supuestos decaso fortuito o fuerza mayor, requiriéndose en ambos casos acreditar laexistencia de eventos extraordinarios, imprevisibles e irresistibles y que, porlo tanto, no pueden ser controlados por el obligado a ejecutar unaprestación.el punto de partida para demostrar la existencia de una causa que exima de responsabilidad aun proveedor es la probanza de un evento determinado que tiene unacaracterística de exterioridad respecto a él.En la entrega de encomiendas, resulta un riesgo previsible el extravío,deterioro y sustracción de los bienes que las conforman y, ante estoshechos, es el proveedor de los servicios, obligado a trasladar los bienes demanera segura a su destinatario de acuerdo con las condiciones en las queéste se pactó, quien está en mejor posición para tomar medidas razonablesdestinadas a evitar que se produzcan hechos de esta naturaleza.El proveedor no cumplió con la prestación a su cargo, en la medida que noentregó la encomienda a su verdadero destinatario.La denunciada pudo haber adoptado medidas de seguridad más eficacespara garantizar la entrega de las encomiendas que tiene bajo su custodia,evitando de esta manera la comisión de posibles fraudes, como consignar elnúmero de DNI del destinatario del envío en la boleta de venta o guía deremisión emitida, establecer un código secreto de conocimiento sólo delremitente de la encomienda, con la finalidad de corroborar dichos datos almomento de la entrega de la encomienda. La denunciadaestá en mejor posición que el cliente para reducir y prevenir los riesgospropios de la entrega de paquetes y encomiendas, especialmente si conoceque los robos efectuando la falsificación de documentos de identidad seproducen en el mercado.Las circunstancias descritas ponen en evidencia la existencia de un defectoen la prestación del servicio.",2006,Pérdida de equipaje,Idoneidad del servicio,Transporte La Marginal SA (Transporte La Marginal),0,Boleta de envío de encomienda Cláusulas Generales de contratación transporte de encomiendas,"CASO FORTUITO, DEFECTO DE PRESTACION DEL SERVICIO",D. Supremo No. 032-2008-MTC,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Ley No. 27917 Modifica el Texto Unico Ordenado del D. Leg. 716",Código Civil,"0,5 UIT Pago de costas y costos","S/.1,800",Juan Francisco Rojas Leo Julio Durand Carrión Sergio León Martínez José Oscátegui Arteta,1
1900-2006/TDC.INDECOPI,"En la entrega de equipajes, resulta un riesgo previsible el extravío, deterioroy sustracción de los bienes que las conforman y, ante estos hechos, es elproveedor de los servicios, obligado a trasladar los bienes de manera seguraa su destinatario de acuerdo con las condiciones en las que éste se pactó,quien está en mejor posición para tomar medidas razonables destinadas aevitar que se produzcan hechos de esta naturaleza.Una vez que se concluye el tramo contratado, se hace entrega delreferido ticket a la empresa de transportes a fin de que ésta haga entrega delrespectivo equipaje. Sobre la base de esta información, un consumidorentiende que su equipaje únicamente será entregado a aquella persona quepresente el ticket.Ha quedado acreditado que elequipaje no fue entregado a la denunciante.",2006,Pérdida de equipaje,Idoneidad del servicio,"M & C Enlaces S.A, (M & C)",Ticket de equipaje No. 00030129,Denuncia policial por hurto,0,0,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Ley No. 27917 Modifica el Texto Unico Ordenado del D. Leg. 716 Res. 0158-2003/TDC-INDECOPI",Ley de Aeronaútica Civil del Perú,"0,3 UIT Pago de costas y costos","US$486,36",Juan Francisco Rojas Leo Julio Durand Carrión Luis Bruno Seminario José Oscátegui Arteta,1
